AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	148.0	23	2.0	171.0	102.0	10.0	15.0
NM_001142964	C22orf46	13.0	0	0.0	13.0	7.0	0.0	6.0
NM_015475	FAM98A	1059.0	78	0.0	1137.0	892.0	70.0	6.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	3.0	0	0.0	3.0	3.0	0.0	0.0
NM_032773	LRCH3	391.0	87	2.0	478.0	434.0	0.0	4.0
NM_001195076	C19orf81	27.0	0	0.0	27.0	23.0	0.0	4.0
NM_001350073	ZNF692	160.0	37	6.0	197.0	64.0	130.0	0.0
NM_001005291	SREBF1	3199.0	738	15.0	3937.0	3740.0	73.0	7.0
NM_138803	CCDC148	0.0	1	0.0	1.0	1.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	92.0	31	12.0	123.0	94.0	7.0	3.0
NM_018210	NAXD	73.0	16	2.0	89.0	60.0	27.0	1.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	1285.0	103	8.0	1388.0	1012.0	315.0	6.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	248.0	27	1.0	275.0	178.0	86.0	8.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	16.0	4	0.0	20.0	11.0	7.0	0.0
NM_003772	JRKL	160.0	0	0.0	160.0	108.0	34.0	0.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	59.0	6	1.0	65.0	43.0	18.0	2.0
NM_001114086	CLIC5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001204375	NPR3	2.0	1	0.0	3.0	2.0	0.0	0.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	0.0	28	0.0	28.0	6.0	0.0	0.0
NM_194460	RNF126	238.0	22	3.0	260.0	196.0	17.0	5.0
NM_001031743	CFAP206	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_001329941	LIPT2	35.0	0	0.0	35.0	23.0	0.0	3.0
NM_002178	IGFBP6	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001145297	EXOC7	747.0	103	2.0	850.0	666.0	12.0	13.0
NM_152559	METTL27	7.0	5	0.0	12.0	6.0	4.0	1.0
NM_001300901	TCEAL4	136.0	0	45.0	136.0	135.0	0.0	1.0
NM_181708	BCDIN3D	72.0	0	0.0	72.0	48.0	0.0	0.0
NM_006012	CLPP	447.0	186	2.0	633.0	597.0	18.0	1.0
NM_006794	GPR75	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001206427	ATP5MD	879.0	52	49.0	931.0	172.0	369.0	9.0
NM_001136050	DHRS1	72.0	14	0.0	86.0	57.0	25.0	1.0
NM_000797	DRD4	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_014975	MAST1	19.0	1	0.0	20.0	19.0	1.0	0.0
NM_001270616	PROX1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000417	IL2RA	57.0	6	1.0	63.0	16.0	44.0	1.0
NM_001731	BTG1	276.0	1	0.0	277.0	116.0	158.0	2.0
NM_001002231	KLK2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001283009	RTEL1	324.0	24	2.0	348.0	222.0	126.0	0.0
NM_001001918	OR14C36	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_053042	ZNF518B	387.0	17	10.0	404.0	284.0	116.0	0.0
NM_001324321	MAST2	121.0	13	0.0	134.0	128.0	2.0	1.0
NM_005958	MTNR1A	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002700	POU4F3	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014587	SOX8	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001286076	RPA2	933.0	110	1.0	1043.0	529.0	453.0	15.0
NM_001321449	IZUMO2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_006594	AP4B1	439.0	28	21.0	467.0	375.0	50.0	1.0
NM_001330332	CD70	267.0	33	34.0	300.0	199.0	72.0	3.0
NM_004288	CYTIP	83.0	6	0.0	89.0	64.0	9.0	1.0
NM_001281432	ZNHIT3	345.0	53	134.0	398.0	157.0	3.0	2.0
NM_001170569	CXorf56	117.0	1	0.0	118.0	77.0	41.0	0.0
NM_014429	MORC1	1.0	0	1.0	1.0	1.0	0.0	0.0
NM_021025	TLX3	7.0	0	0.0	7.0	4.0	2.0	0.0
NM_031438	NUDT12	280.0	42	1.0	322.0	268.0	39.0	2.0
NM_014297	ETHE1	158.0	20	2.0	178.0	138.0	3.0	8.0
NM_001001917	OR56A1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001321245	PLSCR5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_021133	RNASEL	293.0	23	1.0	316.0	230.0	77.0	2.0
NM_021141	XRCC5	9229.0	2612	10.0	11841.0	10567.0	241.0	262.0
NM_002367	MAGEB4	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_030630	HID1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_015896	ZMYND10	2.0	0	0.0	2.0	1.0	0.0	1.0
NM_006811	SERINC3	1936.0	295	2.0	2231.0	1733.0	421.0	33.0
NM_001320820	COQ10B	103.0	9	0.0	112.0	106.0	0.0	1.0
NM_001348397	ST3GAL4	47.0	11	1.0	58.0	48.0	6.0	0.0
NM_001355224	CCDC30	1.0	0	3.0	1.0	0.0	1.0	0.0
NM_001330066	TP53TG3F	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001168247	SLFNL1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001127266	TMEM129	96.0	3	1.0	99.0	60.0	19.0	1.0
NM_003294	TPSAB1	192.0	0	0.0	192.0	190.0	0.0	2.0
NM_001297573	TRERF1	30.0	7	4.0	37.0	30.0	6.0	0.0
NM_018489	ASH1L	324.0	21	9.0	345.0	301.0	34.0	1.0
NM_024759	NIPAL2	52.0	9	0.0	61.0	50.0	2.0	6.0
NM_001101339	C12orf77	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001244666	STX5	216.0	35	10.0	251.0	176.0	30.0	17.0
NM_001102420	ZFAND5	419.0	14	4.0	433.0	87.0	330.0	9.0
NM_024508	ZBED2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_007069	PLA2G16	2.0	0	1.0	2.0	1.0	1.0	0.0
NM_016212	TP53TG3	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001113511	ARHGEF7	426.0	50	15.0	476.0	461.0	0.0	15.0
NM_145719	TIGD3	12.0	2	0.0	14.0	10.0	4.0	0.0
NM_198517	TBC1D10C	34.0	10	5.0	44.0	38.0	0.0	0.0
NM_001318043	DTD1	371.0	50	1.0	421.0	327.0	13.0	8.0
NM_001038707	CDC42SE1	402.0	28	0.0	430.0	105.0	281.0	13.0
NM_001037666	CASTOR1	56.0	8	0.0	64.0	54.0	2.0	0.0
