AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	42.0	8	2.0	50.0	37.0	0.0	1.0
NM_001142964	C22orf46	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_015475	FAM98A	99.0	12	0.0	111.0	96.0	3.0	0.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032773	LRCH3	104.0	27	0.0	131.0	120.0	2.0	0.0
NM_001195076	C19orf81	12.0	0	0.0	12.0	10.0	0.0	2.0
NM_001350073	ZNF692	25.0	1	1.0	26.0	6.0	20.0	0.0
NM_001005291	SREBF1	679.0	106	1.0	785.0	746.0	16.0	3.0
NM_138803	CCDC148	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	139.0	31	3.0	170.0	139.0	16.0	3.0
NM_018210	NAXD	34.0	8	0.0	42.0	22.0	15.0	4.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	400.0	32	1.0	432.0	288.0	131.0	5.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	470.0	53	0.0	523.0	338.0	147.0	23.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_003772	JRKL	45.0	0	0.0	45.0	36.0	4.0	0.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	8.0	0	0.0	8.0	5.0	3.0	0.0
NM_001114086	CLIC5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001204375	NPR3	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	1.0	0	0.0	1.0	0.0	1.0	0.0
NM_194460	RNF126	110.0	13	1.0	123.0	76.0	3.0	2.0
NM_001031743	CFAP206	3.0	0	0.0	3.0	2.0	1.0	0.0
NM_001329941	LIPT2	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_002178	IGFBP6	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001145297	EXOC7	357.0	55	1.0	412.0	351.0	2.0	4.0
NM_152559	METTL27	5.0	2	1.0	7.0	5.0	0.0	0.0
NM_001300901	TCEAL4	11.0	0	2.0	11.0	11.0	0.0	0.0
NM_181708	BCDIN3D	19.0	1	0.0	20.0	16.0	0.0	0.0
NM_006012	CLPP	186.0	63	3.0	249.0	244.0	1.0	1.0
NM_006794	GPR75	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001206427	ATP5MD	200.0	10	5.0	210.0	43.0	88.0	2.0
NM_001136050	DHRS1	50.0	8	0.0	58.0	41.0	15.0	1.0
NM_000797	DRD4	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_014975	MAST1	0.0	0	0.0	0.0	0.0	0.0	0.0
