AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	552.0	18	80.0	570.0	131.0	31.0	394.0
NM_001142964	C22orf46	80.0	0	3.0	80.0	13.0	2.0	63.0
NM_015475	FAM98A	247.0	13	82.0	260.0	146.0	6.0	97.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	0.0	0	2.0	0.0	0.0	0.0	0.0
NM_032773	LRCH3	314.0	64	494.0	378.0	336.0	13.0	11.0
NM_001195076	C19orf81	23.0	0	1.0	23.0	19.0	0.0	4.0
NM_001350073	ZNF692	224.0	15	57.0	239.0	98.0	117.0	21.0
NM_001005291	SREBF1	775.0	55	294.0	830.0	666.0	26.0	132.0
NM_138803	CCDC148	0.0	0	8.0	0.0	0.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	211.0	25	127.0	236.0	97.0	8.0	127.0
NM_018210	NAXD	322.0	29	182.0	351.0	144.0	5.0	202.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	1997.0	73	1906.0	2070.0	832.0	199.0	1010.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	181.0	27	29.0	208.0	103.0	43.0	58.0
NM_001144954	C5orf47	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	60.0	6	14.0	66.0	36.0	11.0	16.0
NM_003772	JRKL	211.0	0	0.0	211.0	132.0	19.0	57.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	212.0	1	40.0	213.0	109.0	11.0	92.0
NM_001114086	CLIC5	1.0	0	0.0	1.0	0.0	0.0	1.0
NM_001204375	NPR3	324.0	12	54.0	336.0	116.0	5.0	213.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	1.0	3	0.0	4.0	2.0	1.0	0.0
NM_194460	RNF126	153.0	5	71.0	158.0	90.0	12.0	51.0
NM_001031743	CFAP206	3.0	0	3.0	3.0	3.0	0.0	0.0
NM_001329941	LIPT2	109.0	0	5.0	109.0	52.0	2.0	49.0
NM_002178	IGFBP6	8.0	0	1.0	8.0	8.0	0.0	0.0
NM_001145297	EXOC7	1380.0	123	179.0	1503.0	807.0	25.0	658.0
NM_152559	METTL27	8.0	0	3.0	8.0	7.0	0.0	1.0
NM_001300901	TCEAL4	187.0	0	33.0	187.0	135.0	0.0	52.0
NM_181708	BCDIN3D	115.0	4	23.0	119.0	63.0	6.0	46.0
NM_006012	CLPP	418.0	65	10.0	483.0	398.0	14.0	62.0
NM_006794	GPR75	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001206427	ATP5MD	304.0	34	105.0	338.0	125.0	176.0	37.0
NM_001136050	DHRS1	69.0	13	26.0	82.0	57.0	18.0	2.0
NM_000797	DRD4	1.0	0	5.0	1.0	1.0	0.0	0.0
NM_014975	MAST1	19.0	1	7.0	20.0	20.0	0.0	0.0
