AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	174.0	25	8.0	199.0	144.0	2.0	11.0
NM_001142964	C22orf46	10.0	1	0.0	11.0	6.0	0.0	5.0
NM_015475	FAM98A	533.0	58	0.0	591.0	471.0	36.0	3.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_032773	LRCH3	592.0	114	4.0	706.0	607.0	9.0	9.0
NM_001195076	C19orf81	27.0	0	1.0	27.0	22.0	0.0	5.0
NM_001350073	ZNF692	98.0	7	4.0	105.0	39.0	64.0	1.0
NM_001005291	SREBF1	2597.0	356	8.0	2953.0	2751.0	56.0	8.0
NM_138803	CCDC148	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	206.0	57	20.0	263.0	202.0	20.0	4.0
NM_018210	NAXD	107.0	14	1.0	121.0	87.0	30.0	2.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	1761.0	144	11.0	1905.0	1043.0	802.0	15.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	251.0	22	0.0	273.0	157.0	95.0	15.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	62.0	20	0.0	82.0	55.0	20.0	1.0
NM_003772	JRKL	176.0	0	0.0	176.0	115.0	41.0	0.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	55.0	3	0.0	58.0	32.0	24.0	0.0
NM_001114086	CLIC5	1.0	0	1.0	1.0	1.0	0.0	0.0
NM_001204375	NPR3	144.0	19	0.0	163.0	148.0	1.0	1.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	0.0	19	0.0	19.0	3.0	0.0	0.0
NM_194460	RNF126	269.0	30	4.0	299.0	163.0	9.0	6.0
NM_001031743	CFAP206	0.0	1	0.0	1.0	0.0	1.0	0.0
NM_001329941	LIPT2	69.0	0	0.0	69.0	41.0	0.0	20.0
NM_002178	IGFBP6	14.0	2	0.0	16.0	16.0	0.0	0.0
NM_001145297	EXOC7	1079.0	178	5.0	1257.0	1044.0	19.0	15.0
NM_152559	METTL27	8.0	3	0.0	11.0	10.0	1.0	0.0
NM_001300901	TCEAL4	411.0	0	117.0	411.0	410.0	0.0	1.0
NM_181708	BCDIN3D	98.0	4	0.0	102.0	79.0	1.0	0.0
NM_006012	CLPP	562.0	118	4.0	680.0	641.0	8.0	4.0
NM_006794	GPR75	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001206427	ATP5MD	622.0	41	32.0	663.0	100.0	260.0	3.0
NM_001136050	DHRS1	151.0	28	0.0	179.0	121.0	48.0	2.0
NM_000797	DRD4	2.0	0	1.0	2.0	2.0	0.0	0.0
NM_014975	MAST1	10.0	0	1.0	10.0	9.0	0.0	0.0
