AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	223.0	5	48.0	228.0	62.0	16.0	147.0
NM_001142964	C22orf46	38.0	0	1.0	38.0	7.0	0.0	30.0
NM_015475	FAM98A	87.0	9	21.0	96.0	62.0	5.0	25.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032773	LRCH3	202.0	29	411.0	231.0	206.0	14.0	4.0
NM_001195076	C19orf81	19.0	0	2.0	19.0	14.0	0.0	5.0
NM_001350073	ZNF692	126.0	12	38.0	138.0	53.0	72.0	12.0
NM_001005291	SREBF1	883.0	87	309.0	970.0	763.0	33.0	163.0
NM_138803	CCDC148	0.0	0	3.0	0.0	0.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	182.0	24	77.0	206.0	86.0	8.0	109.0
NM_018210	NAXD	278.0	14	211.0	292.0	127.0	10.0	153.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	573.0	30	747.0	603.0	293.0	78.0	224.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	832.0	86	116.0	918.0	417.0	219.0	275.0
NM_001144954	C5orf47	5.0	0	32.0	5.0	1.0	0.0	4.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_003772	JRKL	100.0	0	0.0	100.0	53.0	14.0	31.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	80.0	1	17.0	81.0	45.0	14.0	22.0
NM_001114086	CLIC5	0.0	0	1.0	0.0	0.0	0.0	0.0
NM_001204375	NPR3	1.0	1	6.0	2.0	2.0	0.0	0.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	0.0	2	0.0	2.0	0.0	0.0	0.0
NM_194460	RNF126	90.0	8	71.0	98.0	50.0	12.0	33.0
NM_001031743	CFAP206	0.0	0	2.0	0.0	0.0	0.0	0.0
NM_001329941	LIPT2	19.0	0	0.0	19.0	13.0	0.0	5.0
NM_002178	IGFBP6	0.0	0	0.0	0.0	0.0	0.0	0.0
