AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	88.0	10	5.0	98.0	67.0	2.0	6.0
NM_001142964	C22orf46	5.0	0	0.0	5.0	5.0	0.0	0.0
NM_015475	FAM98A	245.0	18	0.0	263.0	215.0	16.0	1.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032773	LRCH3	308.0	49	1.0	357.0	312.0	0.0	7.0
NM_001195076	C19orf81	13.0	1	1.0	14.0	11.0	0.0	3.0
NM_001350073	ZNF692	50.0	10	1.0	60.0	18.0	40.0	0.0
NM_001005291	SREBF1	1349.0	268	6.0	1617.0	1484.0	38.0	4.0
NM_138803	CCDC148	1.0	0	0.0	1.0	0.0	1.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	332.0	105	20.0	437.0	353.0	24.0	6.0
NM_018210	NAXD	72.0	10	0.0	82.0	67.0	11.0	3.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	1051.0	100	2.0	1151.0	830.0	276.0	8.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	1038.0	122	0.0	1160.0	721.0	373.0	39.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_003772	JRKL	123.0	0	0.0	123.0	84.0	28.0	0.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	24.0	1	0.0	25.0	17.0	7.0	0.0
NM_001114086	CLIC5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001204375	NPR3	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	0.0	6	0.0	6.0	4.0	0.0	0.0
