AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	246.0	13	12.0	259.0	117.0	5.0	15.0
NM_001142964	C22orf46	12.0	1	0.0	13.0	7.0	0.0	6.0
NM_015475	FAM98A	451.0	44	1.0	495.0	307.0	42.0	5.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032773	LRCH3	552.0	71	6.0	623.0	452.0	6.0	7.0
NM_001195076	C19orf81	37.0	0	0.0	37.0	30.0	0.0	7.0
NM_001350073	ZNF692	101.0	11	6.0	112.0	23.0	88.0	0.0
NM_001005291	SREBF1	2022.0	278	10.0	2300.0	1952.0	130.0	7.0
NM_138803	CCDC148	1.0	0	2.0	1.0	1.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	232.0	26	29.0	258.0	160.0	33.0	3.0
NM_018210	NAXD	127.0	12	9.0	139.0	75.0	58.0	3.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	2443.0	203	13.0	2646.0	828.0	1753.0	18.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	300.0	12	0.0	312.0	86.0	221.0	3.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	67.0	7	2.0	74.0	29.0	41.0	0.0
NM_003772	JRKL	162.0	0	0.0	162.0	59.0	71.0	0.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	45.0	4	1.0	49.0	13.0	31.0	0.0
NM_001114086	CLIC5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001204375	NPR3	153.0	5	3.0	158.0	100.0	7.0	4.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	3.0	26	0.0	29.0	5.0	3.0	0.0
NM_194460	RNF126	308.0	13	4.0	321.0	79.0	26.0	1.0
NM_001031743	CFAP206	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001329941	LIPT2	83.0	0	2.0	83.0	53.0	0.0	14.0
NM_002178	IGFBP6	12.0	2	4.0	14.0	10.0	1.0	0.0
NM_001145297	EXOC7	688.0	66	5.0	754.0	534.0	25.0	4.0
NM_152559	METTL27	7.0	4	0.0	11.0	6.0	1.0	1.0
NM_001300901	TCEAL4	466.0	0	133.0	466.0	459.0	0.0	7.0
NM_181708	BCDIN3D	118.0	1	0.0	119.0	69.0	1.0	4.0
NM_006012	CLPP	591.0	79	7.0	670.0	543.0	19.0	2.0
NM_006794	GPR75	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001206427	ATP5MD	979.0	60	60.0	1039.0	45.0	413.0	7.0
NM_001136050	DHRS1	138.0	18	1.0	156.0	51.0	83.0	1.0
NM_000797	DRD4	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014975	MAST1	27.0	2	0.0	29.0	25.0	4.0	0.0
NM_001270616	PROX1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000417	IL2RA	72.0	7	3.0	79.0	27.0	47.0	0.0
NM_001731	BTG1	1563.0	2	0.0	1565.0	238.0	1272.0	8.0
