AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	198.0	11	4.0	209.0	119.0	0.0	14.0
NM_001142964	C22orf46	17.0	2	1.0	19.0	13.0	0.0	6.0
NM_015475	FAM98A	314.0	21	0.0	335.0	258.0	22.0	1.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	9.0	0	0.0	9.0	9.0	0.0	0.0
NM_032773	LRCH3	200.0	57	2.0	257.0	215.0	2.0	2.0
NM_001195076	C19orf81	35.0	0	1.0	35.0	32.0	0.0	3.0
NM_001350073	ZNF692	85.0	15	4.0	100.0	46.0	53.0	0.0
NM_001005291	SREBF1	3649.0	516	14.0	4165.0	3902.0	77.0	15.0
NM_138803	CCDC148	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	116.0	32	5.0	148.0	114.0	13.0	1.0
NM_018210	NAXD	99.0	14	3.0	113.0	81.0	29.0	3.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	688.0	53	2.0	741.0	389.0	330.0	3.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	220.0	26	0.0	246.0	134.0	102.0	6.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	10.0	1	0.0	11.0	8.0	2.0	1.0
NM_003772	JRKL	114.0	0	0.0	114.0	76.0	22.0	1.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	44.0	3	0.0	47.0	27.0	18.0	0.0
NM_001114086	CLIC5	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_001204375	NPR3	8.0	0	0.0	8.0	7.0	0.0	0.0
NM_001006117	RBMY1J	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001077663	URGCP	0.0	12	0.0	12.0	3.0	0.0	0.0
NM_194460	RNF126	291.0	22	0.0	313.0	189.0	13.0	9.0
NM_001031743	CFAP206	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001329941	LIPT2	23.0	0	0.0	23.0	12.0	0.0	4.0
NM_002178	IGFBP6	1.0	0	0.0	1.0	0.0	0.0	0.0
NM_001145297	EXOC7	543.0	70	1.0	613.0	520.0	8.0	3.0
NM_152559	METTL27	7.0	2	0.0	9.0	6.0	1.0	0.0
NM_001300901	TCEAL4	105.0	0	20.0	105.0	105.0	0.0	0.0
NM_181708	BCDIN3D	63.0	0	1.0	63.0	40.0	0.0	1.0
NM_006012	CLPP	528.0	111	5.0	639.0	619.0	3.0	3.0
NM_006794	GPR75	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001206427	ATP5MD	488.0	19	4.0	507.0	69.0	187.0	3.0
NM_001136050	DHRS1	81.0	17	0.0	98.0	69.0	21.0	0.0
NM_000797	DRD4	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014975	MAST1	6.0	1	1.0	7.0	7.0	0.0	0.0
NM_001270616	PROX1	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000417	IL2RA	103.0	6	1.0	109.0	41.0	59.0	5.0
NM_001731	BTG1	243.0	5	0.0	248.0	171.0	67.0	2.0
NM_001002231	KLK2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001283009	RTEL1	215.0	11	3.0	226.0	148.0	76.0	2.0
NM_001001918	OR14C36	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_053042	ZNF518B	260.0	8	11.0	268.0	191.0	69.0	2.0
NM_001324321	MAST2	67.0	8	0.0	75.0	73.0	1.0	0.0
NM_005958	MTNR1A	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002700	POU4F3	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014587	SOX8	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001286076	RPA2	652.0	82	0.0	734.0	318.0	357.0	9.0
NM_001321449	IZUMO2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_006594	AP4B1	239.0	20	4.0	259.0	197.0	41.0	0.0
NM_001330332	CD70	426.0	39	70.0	465.0	269.0	57.0	9.0
NM_004288	CYTIP	41.0	3	0.0	44.0	32.0	8.0	0.0
