AccNum	Gene	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001013649	C2orf68	62.0	10	2.0	72.0	57.0	0.0	4.0
NM_001142964	C22orf46	2.0	1	0.0	3.0	3.0	0.0	0.0
NM_015475	FAM98A	82.0	11	0.0	93.0	82.0	4.0	0.0
NM_001277304	POTEB	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_178160	OTOP2	1.0	0	0.0	1.0	1.0	0.0	0.0
NM_032773	LRCH3	133.0	27	0.0	160.0	144.0	0.0	2.0
NM_001195076	C19orf81	23.0	0	0.0	23.0	20.0	0.0	3.0
NM_001350073	ZNF692	41.0	8	0.0	49.0	18.0	31.0	0.0
NM_001005291	SREBF1	1800.0	262	0.0	2062.0	1934.0	54.0	5.0
NM_138803	CCDC148	1.0	0	0.0	1.0	0.0	1.0	0.0
NM_001003750	OR8I2	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_032846	RAB2B	197.0	64	8.0	261.0	216.0	19.0	2.0
NM_018210	NAXD	81.0	9	3.0	90.0	65.0	22.0	2.0
NM_015038	KIAA0754	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_004537	NAP1L1	564.0	55	3.0	619.0	409.0	189.0	6.0
NM_013369	DNMT3L	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_001135642	INPP5K	658.0	76	0.0	734.0	447.0	246.0	31.0
NM_001144954	C5orf47	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_000729	CCK	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_002561	P2RX5	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_003772	JRKL	83.0	0	0.0	83.0	49.0	20.0	1.0
NM_000682	ADRA2B	0.0	0	0.0	0.0	0.0	0.0	0.0
NM_014650	ZNF432	20.0	1	0.0	21.0	14.0	6.0	0.0
NM_001114086	CLIC5	0.0	0	0.0	0.0	0.0	0.0	0.0
